Site,Título,Endereço,Preço,Link
https://www.veneza.com.br/imoveis/apartamento-venda,Vert Residence,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 1.080.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-vert-residence-londrina?ref=56051.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Maison Provence,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 1.080.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-maison-provence-londrina?ref=56220.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Cad*oro,R. Para - Centro - Londrina/PR," R$ 990.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-cad*oro-londrina?ref=06552.002&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Ariane,R. Espirito Santo - Centro - Londrina/PR," R$ 990.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-ariane-londrina?ref=55240.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Solar do Pioneiro,R. Tupi - Centro - Londrina/PR," R$ 960.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-solar-do-pioneiro-londrina?ref=06439.003&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Itacolomi,AV. Rio de Janeiro - Centro - Londrina/PR," R$ 940.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-itacolomi-londrina?ref=55622.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Jabur,R. Pio XII - Centro - Londrina/PR," R$ 900.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-jabur-londrina?ref=55511.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Flor da Mata,R. Belo Horizonte - Centro - Londrina/PR," R$ 875.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-flor-da-mata-londrina?ref=07470.011&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Manhattan,R. Santos - Centro - Londrina/PR," R$ 860.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-manhattan-londrina?ref=56066.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Concorde,AV. Sao Paulo - Centro - Londrina/PR," R$ 850.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-concorde-londrina?ref=55958.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,You 180,R. Ulrico Zuinglio - Gleba Palhano - Londrina/PR," R$ 850.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-you-180-londrina?ref=56233.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Lago Parque,R. Santos - Centro - Londrina/PR," R$ 850.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-lago-parque-londrina?ref=55524.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Terra dos Imigrantes,R. Pernambuco - Centro - Londrina/PR," R$ 810.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-terra-dos-imigrantes-londrina?ref=05162.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,New Orleans,R. Santos - Centro - Londrina/PR," R$ 800.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-new-orleans-londrina?ref=06464.002&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Fontaine D*or,R. Eurico Hummig - Gleba Palhano - Londrina/PR," R$ 798.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-fontaine-d*or-londrina?ref=56215.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Aqualuna Jardim,R. Santos - Centro - Londrina/PR," R$ 790.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-aqualuna-jardim-londrina?ref=56197.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Marrocos,R. Sergipe - Centro - Londrina/PR," R$ 790.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-marrocos-londrina?ref=55760.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Dom Pedro,R. Piaui - Centro - Londrina/PR," R$ 780.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-dom-pedro-londrina?ref=01759.004&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Freedom Palhano,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 780.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-freedom-palhano-londrina?ref=07671.011&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Cosmopolitan Residence,R. Maria Lucia da Paz - Gleba Palhano - Londrina/PR," R$ 770.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-cosmopolitan-residence-londrina?ref=56164.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Victoria Parque,R. Martinho Lutero - Gleba Palhano - Londrina/PR," R$ 770.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-victoria-parque-londrina?ref=56101.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Rio de Janeiro,AV. Rio de Janeiro - Centro - Londrina/PR," R$ 750.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-rio-de-janeiro-londrina?ref=07556.011&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Lord Lovat,R. Piaui - Centro - Londrina/PR," R$ 750.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-lord-lovat-londrina?ref=04520.009&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Orleans,R. Professor Joao Candido - Centro - Londrina/PR," R$ 750.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-orleans-londrina?ref=54449.002&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Orleans,R. Professor Joao Candido - Centro - Londrina/PR," R$ 750.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-orleans-londrina?ref=54699.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Costa D Ouro,R. Para - Centro - Londrina/PR," R$ 750.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-costa-d-ouro-londrina?ref=54245.005&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Parque Imperial,R. Santos - Centro - Londrina/PR," R$ 740.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-parque-imperial-londrina?ref=55395.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Terra Azul,AV. Sao Paulo - Centro - Londrina/PR," R$ 730.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-terra-azul-londrina?ref=56028.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Concorde,AV. Sao Paulo - Centro - Londrina/PR," R$ 720.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-concorde-londrina?ref=56203.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Concept Palhano,R. Joao Huss - Gleba Palhano - Londrina/PR," R$ 700.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-gleba-palhano-concept-palhano-londrina?ref=55959.001&id=0
https://www.veneza.com.br/imoveis/apartamento-venda,Barao do Catuai,R. Professor Joao Candido - Centro - Londrina/PR," R$ 700.000,00",https://www.veneza.com.br/imoveis/apartamento-venda/imovel/venda-apartamento-centro-barao-do-catuai-londrina?ref=55134.003&id=0
